               name               | abbrev | utc_offset | is_dst 
 America/Atka                     | HDT    | -09:00:00  | t
 America/Bahia                    | -03    | -03:00:00  | f
 America/Bahia_Banderas           | CDT    | -05:00:00  | t
 America/Barbados                 | AST    | -04:00:00  | f
 America/Belem                    | -03    | -03:00:00  | f
 America/Belize                   | CST    | -06:00:00  | f
 America/Blanc-Sablon             | AST    | -04:00:00  | f
 America/Boa_Vista                | -04    | -04:00:00  | f
 America/Bogota                   | -05    | -05:00:00  | f
 America/Boise                    | MDT    | -06:00:00  | t
 America/Buenos_Aires             | -03    | -03:00:00  | f
 America/Cambridge_Bay            | MDT    | -06:00:00  | t
 America/Campo_Grande             | -04    | -04:00:00  | f
 America/Cancun                   | EST    | -05:00:00  | f
 America/Caracas                  | -04    | -04:00:00  | f
 America/Catamarca                | -03    | -03:00:00  | f
 America/Cayenne                  | -03    | -03:00:00  | f
 America/Cayman                   | EST    | -05:00:00  | f
 America/Chicago                  | CDT    | -05:00:00  | t
 America/Chihuahua                | MDT    | -06:00:00  | t
 America/Coral_Harbour            | EST    | -05:00:00  | f
 America/Cordoba                  | -03    | -03:00:00  | f
 America/Costa_Rica               | CST    | -06:00:00  | f
 America/Creston                  | MST    | -07:00:00  | f
 America/Cuiaba                   | -04    | -04:00:00  | f
 America/Curacao                  | AST    | -04:00:00  | f
 America/Danmarkshavn             | GMT    | 00:00:00   | f
 America/Dawson                   | MST    | -07:00:00  | f
 America/Dawson_Creek             | MST    | -07:00:00  | f
 America/Denver                   | MDT    | -06:00:00  | t
 America/Detroit                  | EDT    | -04:00:00  | t
 America/Dominica                 | AST    | -04:00:00  | f
 America/Edmonton                 | MDT    | -06:00:00  | t
 America/Eirunepe                 | -05    | -05:00:00  | f
 America/El_Salvador              | CST    | -06:00:00  | f
 America/Ensenada                 | PDT    | -07:00:00  | t
 America/Fortaleza                | -03    | -03:00:00  | f
 America/Fort_Nelson              | MST    | -07:00:00  | f
 America/Fort_Wayne               | EDT    | -04:00:00  | t
 America/Glace_Bay                | ADT    | -03:00:00  | t
 America/Godthab                  | -02    | -02:00:00  | t
 America/Goose_Bay                | ADT    | -03:00:00  | t
 America/Grand_Turk               | EDT    | -04:00:00  | t
 America/Grenada                  | AST    | -04:00:00  | f
 America/Guadeloupe               | AST    | -04:00:00  | f
 America/Guatemala                | CST    | -06:00:00  | f
 America/Guayaquil                | -05    | -05:00:00  | f
 America/Guyana                   | -04    | -04:00:00  | f
 America/Halifax                  | ADT    | -03:00:00  | t
 America/Havana                   | CDT    | -04:00:00  | t
 America/Hermosillo               | MST    | -07:00:00  | f
 America/Indiana/Indianapolis     | EDT    | -04:00:00  | t
 America/Indiana/Knox             | CDT    | -05:00:00  | t
 America/Indiana/Marengo          | EDT    | -04:00:00  | t
 America/Indiana/Petersburg       | EDT    | -04:00:00  | t
 America/Indiana/Tell_City        | CDT    | -05:00:00  | t
 America/Indiana/Vevay            | EDT    | -04:00:00  | t
 America/Indiana/Vincennes        | EDT    | -04:00:00  | t
 America/Indiana/Winamac          | EDT    | -04:00:00  | t
 America/Indianapolis             | EDT    | -04:00:00  | t
 America/Inuvik                   | MDT    | -06:00:00  | t
 America/Iqaluit                  | EDT    | -04:00:00  | t
 America/Jamaica                  | EST    | -05:00:00  | f
 America/Jujuy                    | -03    | -03:00:00  | f
 America/Juneau                   | AKDT   | -08:00:00  | t
 America/Kentucky/Louisville      | EDT    | -04:00:00  | t
 America/Kentucky/Monticello      | EDT    | -04:00:00  | t
 America/Knox_IN                  | CDT    | -05:00:00  | t
 America/Kralendijk               | AST    | -04:00:00  | f
 America/La_Paz                   | -04    | -04:00:00  | f
 America/Lima                     | -05    | -05:00:00  | f
 America/Los_Angeles              | PDT    | -07:00:00  | t
 America/Louisville               | EDT    | -04:00:00  | t
 America/Lower_Princes            | AST    | -04:00:00  | f
 America/Maceio                   | -03    | -03:00:00  | f
 America/Managua                  | CST    | -06:00:00  | f
 America/Manaus                   | -04    | -04:00:00  | f
 America/Marigot                  | AST    | -04:00:00  | f
 America/Martinique               | AST    | -04:00:00  | f
 America/Matamoros                | CDT    | -05:00:00  | t
 America/Mazatlan                 | MDT    | -06:00:00  | t
 America/Mendoza                  | -03    | -03:00:00  | f
 America/Menominee                | CDT    | -05:00:00  | t
 America/Merida                   | CDT    | -05:00:00  | t
 America/Metlakatla               | AKDT   | -08:00:00  | t
 America/Mexico_City              | CDT    | -05:00:00  | t
 America/Miquelon                 | -02    | -02:00:00  | t
 America/Moncton                  | ADT    | -03:00:00  | t
 America/Monterrey                | CDT    | -05:00:00  | t
 America/Montevideo               | -03    | -03:00:00  | f
 America/Montreal                 | EDT    | -04:00:00  | t
 America/Montserrat               | AST    | -04:00:00  | f
 America/Nassau                   | EDT    | -04:00:00  | t
 America/New_York                 | EDT    | -04:00:00  | t
 America/Nipigon                  | EDT    | -04:00:00  | t
 America/Nome                     | AKDT   | -08:00:00  | t
 America/Noronha                  | -02    | -02:00:00  | f
 America/North_Dakota/Beulah      | CDT    | -05:00:00  | t
 America/North_Dakota/Center      | CDT    | -05:00:00  | t
 America/North_Dakota/New_Salem   | CDT    | -05:00:00  | t
 America/Nuuk                     | -02    | -02:00:00  | t
 America/Ojinaga                  | MDT    | -06:00:00  | t
 America/Panama                   | EST    | -05:00:00  | f
 America/Pangnirtung              | EDT    | -04:00:00  | t
 America/Paramaribo               | -03    | -03:00:00  | f
 America/Phoenix                  | MST    | -07:00:00  | f
 America/Port-au-Prince           | EDT    | -04:00:00  | t
 America/Porto_Acre               | -05    | -05:00:00  | f
 America/Porto_Velho              | -04    | -04:00:00  | f
 America/Port_of_Spain            | AST    | -04:00:00  | f
 America/Puerto_Rico              | AST    | -04:00:00  | f
 America/Punta_Arenas             | -03    | -03:00:00  | f
 America/Rainy_River              | CDT    | -05:00:00  | t
 America/Rankin_Inlet             | CDT    | -05:00:00  | t
 America/Recife                   | -03    | -03:00:00  | f
 America/Regina                   | CST    | -06:00:00  | f
 America/Resolute                 | CDT    | -05:00:00  | t
 America/Rio_Branco               | -05    | -05:00:00  | f
 America/Rosario                  | -03    | -03:00:00  | f
 America/Santarem                 | -03    | -03:00:00  | f
 America/Santa_Isabel             | PDT    | -07:00:00  | t
 America/Santiago                 | -04    | -04:00:00  | f
 America/Santo_Domingo            | AST    | -04:00:00  | f
 America/Sao_Paulo                | -03    | -03:00:00  | f
 America/Scoresbysund             | +00    | 00:00:00   | t
 America/Shiprock                 | MDT    | -06:00:00  | t
 America/Sitka                    | AKDT   | -08:00:00  | t
 America/St_Barthelemy            | AST    | -04:00:00  | f
 America/St_Johns                 | NDT    | -02:30:00  | t
 America/St_Kitts                 | AST    | -04:00:00  | f
 America/St_Lucia                 | AST    | -04:00:00  | f
 America/St_Thomas                | AST    | -04:00:00  | f
 America/St_Vincent               | AST    | -04:00:00  | f
 America/Swift_Current            | CST    | -06:00:00  | f
 America/Tegucigalpa              | CST    | -06:00:00  | f
 America/Thule                    | ADT    | -03:00:00  | t
 America/Thunder_Bay              | EDT    | -04:00:00  | t
 America/Tijuana                  | PDT    | -07:00:00  | t
 America/Toronto                  | EDT    | -04:00:00  | t
 America/Tortola                  | AST    | -04:00:00  | f
 America/Vancouver                | PDT    | -07:00:00  | t
 America/Virgin                   | AST    | -04:00:00  | f
 America/Whitehorse               | MST    | -07:00:00  | f
 America/Winnipeg                 | CDT    | -05:00:00  | t
 America/Yakutat                  | AKDT   | -08:00:00  | t
 America/Yellowknife              | MDT    | -06:00:00  | t
 Antarctica/Casey                 | +11    | 11:00:00   | f
 Antarctica/Davis                 | +07    | 07:00:00   | f
 Antarctica/DumontDUrville        | +10    | 10:00:00   | f
 Antarctica/Macquarie             | AEST   | 10:00:00   | f
 Antarctica/Mawson                | +05    | 05:00:00   | f
 Antarctica/McMurdo               | NZST   | 12:00:00   | f
 Antarctica/Palmer                | -03    | -03:00:00  | f
 Antarctica/Rothera               | -03    | -03:00:00  | f
 Antarctica/South_Pole            | NZST   | 12:00:00   | f
 Antarctica/Syowa                 | +03    | 03:00:00   | f
 Antarctica/Troll                 | +02    | 02:00:00   | t
 Antarctica/Vostok                | +06    | 06:00:00   | f
 Arctic/Longyearbyen              | CEST   | 02:00:00   | t
 Asia/Aden                        | +03    | 03:00:00   | f
 Asia/Almaty                      | +06    | 06:00:00   | f
 Asia/Amman                       | EEST   | 03:00:00   | t
 Asia/Anadyr                      | +12    | 12:00:00   | f
 Asia/Aqtau                       | +05    | 05:00:00   | f
 Asia/Aqtobe                      | +05    | 05:00:00   | f
 Asia/Ashgabat                    | +05    | 05:00:00   | f
 Asia/Ashkhabad                   | +05    | 05:00:00   | f
 Asia/Atyrau                      | +05    | 05:00:00   | f
 Asia/Baghdad                     | +03    | 03:00:00   | f
 Asia/Bahrain                     | +03    | 03:00:00   | f
 Asia/Baku                        | +04    | 04:00:00   | f
 Asia/Bangkok                     | +07    | 07:00:00   | f
 Asia/Barnaul                     | +07    | 07:00:00   | f
 Asia/Beirut                      | EEST   | 03:00:00   | t
 Asia/Bishkek                     | +06    | 06:00:00   | f
 Asia/Brunei                      | +08    | 08:00:00   | f
 Asia/Calcutta                    | IST    | 05:30:00   | f
 Asia/Chita                       | +09    | 09:00:00   | f
 Asia/Choibalsan                  | +08    | 08:00:00   | f
 Asia/Chongqing                   | CST    | 08:00:00   | f
 Asia/Chungking                   | CST    | 08:00:00   | f
 Asia/Colombo                     | +0530  | 05:30:00   | f
 Asia/Dacca                       | +06    | 06:00:00   | f
 Asia/Damascus                    | EEST   | 03:00:00   | t
 Asia/Dhaka                       | +06    | 06:00:00   | f
 Asia/Dili                        | +09    | 09:00:00   | f
 Asia/Dubai                       | +04    | 04:00:00   | f
 Asia/Dushanbe                    | +05    | 05:00:00   | f
 Asia/Famagusta                   | EEST   | 03:00:00   | t
 Asia/Gaza                        | EEST   | 03:00:00   | t
 Asia/Harbin                      | CST    | 08:00:00   | f
 Asia/Hebron                      | EEST   | 03:00:00   | t
 Asia/Hong_Kong                   | HKT    | 08:00:00   | f
 Asia/Hovd                        | +07    | 07:00:00   | f
 Asia/Ho_Chi_Minh                 | +07    | 07:00:00   | f
 Asia/Irkutsk                     | +08    | 08:00:00   | f
 Asia/Istanbul                    | +03    | 03:00:00   | f
 Asia/Jakarta                     | WIB    | 07:00:00   | f
 Asia/Jayapura                    | WIT    | 09:00:00   | f
 Asia/Jerusalem                   | IDT    | 03:00:00   | t
 Asia/Kabul                       | +0430  | 04:30:00   | f
 Asia/Kamchatka                   | +12    | 12:00:00   | f
 Asia/Karachi                     | PKT    | 05:00:00   | f
 Asia/Kashgar                     | +06    | 06:00:00   | f
 Asia/Kathmandu                   | +0545  | 05:45:00   | f
 Asia/Katmandu                    | +0545  | 05:45:00   | f
 Asia/Khandyga                    | +09    | 09:00:00   | f
 Asia/Kolkata                     | IST    | 05:30:00   | f
 Asia/Krasnoyarsk                 | +07    | 07:00:00   | f
 Asia/Kuala_Lumpur                | +08    | 08:00:00   | f
 Asia/Kuching                     | +08    | 08:00:00   | f
 Asia/Kuwait                      | +03    | 03:00:00   | f
 Asia/Macao                       | CST    | 08:00:00   | f
 Asia/Macau                       | CST    | 08:00:00   | f
 Asia/Magadan                     | +11    | 11:00:00   | f
 Asia/Makassar                    | WITA   | 08:00:00   | f
 Asia/Manila                      | PST    | 08:00:00   | f
 Asia/Muscat                      | +04    | 04:00:00   | f
 Asia/Nicosia                     | EEST   | 03:00:00   | t
 Asia/Novokuznetsk                | +07    | 07:00:00   | f
 Asia/Novosibirsk                 | +07    | 07:00:00   | f
 Asia/Omsk                        | +06    | 06:00:00   | f
 Asia/Oral                        | +05    | 05:00:00   | f
 Asia/Phnom_Penh                  | +07    | 07:00:00   | f
 Asia/Pontianak                   | WIB    | 07:00:00   | f
 Asia/Pyongyang                   | KST    | 09:00:00   | f
 Asia/Qatar                       | +03    | 03:00:00   | f
 Asia/Qostanay                    | +06    | 06:00:00   | f
 Asia/Qyzylorda                   | +05    | 05:00:00   | f
 Asia/Rangoon                     | +0630  | 06:30:00   | f
 Asia/Riyadh                      | +03    | 03:00:00   | f
 Asia/Saigon                      | +07    | 07:00:00   | f
 Asia/Sakhalin                    | +11    | 11:00:00   | f
 Asia/Samarkand                   | +05    | 05:00:00   | f
 Asia/Seoul                       | KST    | 09:00:00   | f
 Asia/Shanghai                    | CST    | 08:00:00   | f
 Asia/Singapore                   | +08    | 08:00:00   | f
 Asia/Srednekolymsk               | +11    | 11:00:00   | f
 Asia/Taipei                      | CST    | 08:00:00   | f
 Asia/Tashkent                    | +05    | 05:00:00   | f
 Asia/Tbilisi                     | +04    | 04:00:00   | f
 Asia/Tehran                      | +0430  | 04:30:00   | t
 Asia/Tel_Aviv                    | IDT    | 03:00:00   | t
 Asia/Thimbu                      | +06    | 06:00:00   | f
 Asia/Thimphu                     | +06    | 06:00:00   | f
 Asia/Tokyo                       | JST    | 09:00:00   | f
 Asia/Tomsk                       | +07    | 07:00:00   | f
 Asia/Ujung_Pandang               | WITA   | 08:00:00   | f
 Asia/Ulaanbaatar                 | +08    | 08:00:00   | f
 Asia/Ulan_Bator                  | +08    | 08:00:00   | f
 Asia/Urumqi                      | +06    | 06:00:00   | f
 Asia/Ust-Nera                    | +10    | 10:00:00   | f
 Asia/Vientiane                   | +07    | 07:00:00   | f
 Asia/Vladivostok                 | +10    | 10:00:00   | f
 Asia/Yakutsk                     | +09    | 09:00:00   | f
 Asia/Yangon                      | +0630  | 06:30:00   | f
 Asia/Yekaterinburg               | +05    | 05:00:00   | f
 Asia/Yerevan                     | +04    | 04:00:00   | f
 Atlantic/Azores                  | +00    | 00:00:00   | t
 Atlantic/Bermuda                 | ADT    | -03:00:00  | t
 Atlantic/Canary                  | WEST   | 01:00:00   | t
 Atlantic/Cape_Verde              | -01    | -01:00:00  | f
 Atlantic/Faeroe                  | WEST   | 01:00:00   | t
 Atlantic/Faroe                   | WEST   | 01:00:00   | t
 Atlantic/Jan_Mayen               | CEST   | 02:00:00   | t
 Atlantic/Madeira                 | WEST   | 01:00:00   | t
 Atlantic/Reykjavik               | GMT    | 00:00:00   | f
 Atlantic/South_Georgia           | -02    | -02:00:00  | f
 Atlantic/Stanley                 | -03    | -03:00:00  | f
 Atlantic/St_Helena               | GMT    | 00:00:00   | f
 Australia/ACT                    | AEST   | 10:00:00   | f
 Australia/Adelaide               | ACST   | 09:30:00   | f
 Australia/Brisbane               | AEST   | 10:00:00   | f
 Australia/Broken_Hill            | ACST   | 09:30:00   | f
 Australia/Canberra               | AEST   | 10:00:00   | f
 Australia/Currie                 | AEST   | 10:00:00   | f
 Australia/Darwin                 | ACST   | 09:30:00   | f
 Australia/Eucla                  | +0845  | 08:45:00   | f
 Australia/Hobart                 | AEST   | 10:00:00   | f
 Australia/LHI                    | +1030  | 10:30:00   | f
 Australia/Lindeman               | AEST   | 10:00:00   | f
 Australia/Lord_Howe              | +1030  | 10:30:00   | f
 Australia/Melbourne              | AEST   | 10:00:00   | f
 Australia/North                  | ACST   | 09:30:00   | f
 Australia/NSW                    | AEST   | 10:00:00   | f
 Australia/Perth                  | AWST   | 08:00:00   | f
 Australia/Queensland             | AEST   | 10:00:00   | f
 Australia/South                  | ACST   | 09:30:00   | f
 Australia/Sydney                 | AEST   | 10:00:00   | f
 Australia/Tasmania               | AEST   | 10:00:00   | f
 Australia/Victoria               | AEST   | 10:00:00   | f
 Australia/West                   | AWST   | 08:00:00   | f
 Australia/Yancowinna             | ACST   | 09:30:00   | f
 Brazil/Acre                      | -05    | -05:00:00  | f
 Brazil/DeNoronha                 | -02    | -02:00:00  | f
 Brazil/East                      | -03    | -03:00:00  | f
 Brazil/West                      | -04    | -04:00:00  | f
 Canada/Atlantic                  | ADT    | -03:00:00  | t
 Canada/Central                   | CDT    | -05:00:00  | t
 Canada/Eastern                   | EDT    | -04:00:00  | t
 Canada/Mountain                  | MDT    | -06:00:00  | t
 Canada/Newfoundland              | NDT    | -02:30:00  | t
 Canada/Pacific                   | PDT    | -07:00:00  | t
 Canada/Saskatchewan              | CST    | -06:00:00  | f
 Canada/Yukon                     | MST    | -07:00:00  | f
 CET                              | CEST   | 02:00:00   | t
 Chile/Continental                | -04    | -04:00:00  | f
 Chile/EasterIsland               | -06    | -06:00:00  | f
 CST6CDT                          | CDT    | -05:00:00  | t
 Cuba                             | CDT    | -04:00:00  | t
 EET                              | EEST   | 03:00:00   | t
 Egypt                            | EET    | 02:00:00   | f
 Eire                             | IST    | 01:00:00   | f
 EST                              | EST    | -05:00:00  | f
 EST5EDT                          | EDT    | -04:00:00  | t
 Etc/GMT                          | GMT    | 00:00:00   | f
 Etc/GMT+0                        | GMT    | 00:00:00   | f
 Etc/GMT+1                        | -01    | -01:00:00  | f
 Etc/GMT+10                       | -10    | -10:00:00  | f
 Etc/GMT+11                       | -11    | -11:00:00  | f
 Etc/GMT+12                       | -12    | -12:00:00  | f
 Etc/GMT+2                        | -02    | -02:00:00  | f
 Etc/GMT+3                        | -03    | -03:00:00  | f
 Etc/GMT+4                        | -04    | -04:00:00  | f
 Etc/GMT+5                        | -05    | -05:00:00  | f
 Etc/GMT+6                        | -06    | -06:00:00  | f
 Etc/GMT+7                        | -07    | -07:00:00  | f
 Etc/GMT+8                        | -08    | -08:00:00  | f
 Etc/GMT+9                        | -09    | -09:00:00  | f
 Etc/GMT-0                        | GMT    | 00:00:00   | f
 Etc/GMT-1                        | +01    | 01:00:00   | f
 Etc/GMT-10                       | +10    | 10:00:00   | f
 Etc/GMT-11                       | +11    | 11:00:00   | f
 Etc/GMT-12                       | +12    | 12:00:00   | f
 Etc/GMT-13                       | +13    | 13:00:00   | f
 Etc/GMT-14                       | +14    | 14:00:00   | f
 Etc/GMT-2                        | +02    | 02:00:00   | f
 Etc/GMT-3                        | +03    | 03:00:00   | f
 Etc/GMT-4                        | +04    | 04:00:00   | f
 Etc/GMT-5                        | +05    | 05:00:00   | f
 Etc/GMT-6                        | +06    | 06:00:00   | f
 Etc/GMT-7                        | +07    | 07:00:00   | f
 Etc/GMT-8                        | +08    | 08:00:00   | f
 Etc/GMT-9                        | +09    | 09:00:00   | f
 Etc/GMT0                         | GMT    | 00:00:00   | f
 Etc/Greenwich                    | GMT    | 00:00:00   | f
 Etc/UCT                          | UTC    | 00:00:00   | f
 Etc/Universal                    | UTC    | 00:00:00   | f
 Etc/UTC                          | UTC    | 00:00:00   | f
 Etc/Zulu                         | UTC    | 00:00:00   | f
 Europe/Amsterdam                 | CEST   | 02:00:00   | t
 Europe/Andorra                   | CEST   | 02:00:00   | t
 Europe/Astrakhan                 | +04    | 04:00:00   | f
 Europe/Athens                    | EEST   | 03:00:00   | t
 Europe/Belfast                   | BST    | 01:00:00   | t
 Europe/Belgrade                  | CEST   | 02:00:00   | t
 Europe/Berlin                    | CEST   | 02:00:00   | t
 Europe/Bratislava                | CEST   | 02:00:00   | t
 Europe/Brussels                  | CEST   | 02:00:00   | t
 Europe/Bucharest                 | EEST   | 03:00:00   | t
 Europe/Budapest                  | CEST   | 02:00:00   | t
 Europe/Busingen                  | CEST   | 02:00:00   | t
 Europe/Chisinau                  | EEST   | 03:00:00   | t
 Europe/Copenhagen                | CEST   | 02:00:00   | t
 Europe/Dublin                    | IST    | 01:00:00   | f
 Europe/Gibraltar                 | CEST   | 02:00:00   | t
 Europe/Guernsey                  | BST    | 01:00:00   | t
 Europe/Helsinki                  | EEST   | 03:00:00   | t
 Europe/Isle_of_Man               | BST    | 01:00:00   | t
 Europe/Istanbul                  | +03    | 03:00:00   | f
 Europe/Jersey                    | BST    | 01:00:00   | t
 Europe/Kaliningrad               | EET    | 02:00:00   | f
 Europe/Kiev                      | EEST   | 03:00:00   | t
 Europe/Kirov                     | +03    | 03:00:00   | f
 Europe/Lisbon                    | WEST   | 01:00:00   | t
 Europe/Ljubljana                 | CEST   | 02:00:00   | t
 Europe/London                    | BST    | 01:00:00   | t
 Europe/Luxembourg                | CEST   | 02:00:00   | t
 Europe/Madrid                    | CEST   | 02:00:00   | t
 Europe/Malta                     | CEST   | 02:00:00   | t
 Europe/Mariehamn                 | EEST   | 03:00:00   | t
 Europe/Minsk                     | +03    | 03:00:00   | f
 Europe/Monaco                    | CEST   | 02:00:00   | t
 Europe/Moscow                    | MSK    | 03:00:00   | f
 Europe/Nicosia                   | EEST   | 03:00:00   | t
 Europe/Oslo                      | CEST   | 02:00:00   | t
 Europe/Paris                     | CEST   | 02:00:00   | t
 Europe/Podgorica                 | CEST   | 02:00:00   | t
 Europe/Prague                    | CEST   | 02:00:00   | t
 Europe/Riga                      | EEST   | 03:00:00   | t
 Europe/Rome                      | CEST   | 02:00:00   | t
 Europe/Samara                    | +04    | 04:00:00   | f
 Europe/San_Marino                | CEST   | 02:00:00   | t
 Europe/Sarajevo                  | CEST   | 02:00:00   | t
 Europe/Saratov                   | +04    | 04:00:00   | f
 Europe/Simferopol                | MSK    | 03:00:00   | f
 Europe/Skopje                    | CEST   | 02:00:00   | t
 Europe/Sofia                     | EEST   | 03:00:00   | t
 Europe/Stockholm                 | CEST   | 02:00:00   | t
 Europe/Tallinn                   | EEST   | 03:00:00   | t
 Europe/Tirane                    | CEST   | 02:00:00   | t
 Europe/Tiraspol                  | EEST   | 03:00:00   | t
 Europe/Ulyanovsk                 | +04    | 04:00:00   | f
 Europe/Uzhgorod                  | EEST   | 03:00:00   | t
 Europe/Vaduz                     | CEST   | 02:00:00   | t
 Europe/Vatican                   | CEST   | 02:00:00   | t
 Europe/Vienna                    | CEST   | 02:00:00   | t
 Europe/Vilnius                   | EEST   | 03:00:00   | t
 Europe/Volgograd                 | +03    | 03:00:00   | f
 Europe/Warsaw                    | CEST   | 02:00:00   | t
 Europe/Zagreb                    | CEST   | 02:00:00   | t
 Europe/Zaporozhye                | EEST   | 03:00:00   | t
 Europe/Zurich                    | CEST   | 02:00:00   | t
 Factory                          | -00    | 00:00:00   | f
 GB                               | BST    | 01:00:00   | t
 GB-Eire                          | BST    | 01:00:00   | t
 GMT                              | GMT    | 00:00:00   | f
 GMT+0                            | GMT    | 00:00:00   | f
 GMT-0                            | GMT    | 00:00:00   | f
 GMT0                             | GMT    | 00:00:00   | f
 Greenwich                        | GMT    | 00:00:00   | f
 Hongkong                         | HKT    | 08:00:00   | f
 HST                              | HST    | -10:00:00  | f
 Iceland                          | GMT    | 00:00:00   | f
 Indian/Antananarivo              | EAT    | 03:00:00   | f
 Indian/Chagos                    | +06    | 06:00:00   | f
 Indian/Christmas                 | +07    | 07:00:00   | f
 Indian/Cocos                     | +0630  | 06:30:00   | f
 Indian/Comoro                    | EAT    | 03:00:00   | f
 Indian/Kerguelen                 | +05    | 05:00:00   | f
 Indian/Mahe                      | +04    | 04:00:00   | f
 Indian/Maldives                  | +05    | 05:00:00   | f
 Indian/Mauritius                 | +04    | 04:00:00   | f
 Indian/Mayotte                   | EAT    | 03:00:00   | f
 Indian/Reunion                   | +04    | 04:00:00   | f
 Iran                             | +0430  | 04:30:00   | t
 Israel                           | IDT    | 03:00:00   | t
 Jamaica                          | EST    | -05:00:00  | f
 Japan                            | JST    | 09:00:00   | f
 Kwajalein                        | +12    | 12:00:00   | f
 Libya                            | EET    | 02:00:00   | f
 MET                              | MEST   | 02:00:00   | t
 Mexico/BajaNorte                 | PDT    | -07:00:00  | t
 Mexico/BajaSur                   | MDT    | -06:00:00  | t
 Mexico/General                   | CDT    | -05:00:00  | t
 MST                              | MST    | -07:00:00  | f
 MST7MDT                          | MDT    | -06:00:00  | t
 Navajo                           | MDT    | -06:00:00  | t
